Onderdeel;Corrects;Attempts;Punten;Max
std-Opstarten;6;6;4;4
std-Connect;4;4;1;1
std-Disconnect;4;4;1;1
std-Berichten;4;4;1;1
std-BerichtNaVerandering;8;8;0,5;0,5
std-NetwerkPartitie;4;4;1;1
Opstarten;14;14;4;4
Connect;24;24;1;1
Disconnect;8;8;1;1
Berichten;8;8;1;1
BerichtNaVerandering;12;12;0,5;0,5
NetwerkPartitie;4;4;1;1
BovenLimiet;1;1;1;1
Totaal;-;-;18;(van 18)

Let op: deze berekening is niet het definitieve cijfer. Dit is alleen maar een automatisch gegenereerde score voor het testbare gedeelte, en het staat nog niet vast dat we dit bij de beoordeling gebruiken.

------------------------------------

Testcase;Status;Tijd;Omschrijving
55505 < 55503 1 55503
55503 < 55501 2 55502
55504 < 55501 2 55502
55503 < 55504 2 55502
55504 < 55503 2 55502
55505 < 55502 2 55503
55503 < 55505 1 55505
55504 < 55505 1 55505
55505 < 55500 3 55503
55505 < 55501 3 55503
55505 < 55504 1 55504

Process 55500:
Afstand naar 55501 is nu 1 via 55501
Verbonden: 55501
Afstand naar 55502 is nu 1 via 55502
Verbonden: 55502
Afstand naar 55503 is nu 2 via 55502
Afstand naar 55504 is nu 2 via 55502
Afstand naar 55505 is nu 3 via 55502
> R
55500 0 local
55501 1 55501
55502 1 55502
55503 2 55502
55504 2 55502
55505 3 55502

Process 55501:
Afstand naar 55500 is nu 1 via 55500
Verbonden: 55500
Afstand naar 55502 is nu 2 via 55500
Afstand naar 55503 is nu 3 via 55500
Afstand naar 55504 is nu 3 via 55500
Afstand naar 55505 is nu 4 via 55500
Afstand naar 55502 is nu 1 via 55502
Verbonden: 55502
Afstand naar 55503 is nu 2 via 55502
Afstand naar 55504 is nu 2 via 55502
Afstand naar 55505 is nu 3 via 55502
> R
55501 0 local
55500 1 55500
55502 1 55502
55503 2 55502
55504 2 55502
55505 3 55502

Process 55502:
Afstand naar 55500 is nu 1 via 55500
Verbonden: 55500
Afstand naar 55501 is nu 2 via 55500
Afstand naar 55503 is nu 1 via 55503
Verbonden: 55503
Afstand naar 55504 is nu 1 via 55504
Verbonden: 55504
Afstand naar 55505 is nu 2 via 55503
